fk_contact,recency,frequency,monetary,cluster
cliente_1,1920,1,89.09,1
cliente_10,1001,2,121.53,2
cliente_11,624,1,55.46,0
cliente_12,633,1,47.7,0
cliente_13,2756,1,181.83,1
cliente_14,891,1,42.7,0
cliente_15,1549,2,93.52,2
cliente_16,1064,1,49.97,0
cliente_17,1120,1,67.14,0
cliente_18,1122,1,39.83,0
cliente_19,608,1,283.85,0
cliente_2,1941,1,155.97,1
cliente_20,609,1,115.46,0
cliente_21,1,2,121.44,2
cliente_22,1556,1,126.49,1
cliente_23,1204,1,86.83,0
cliente_24,1200,1,464.89,0
cliente_25,1206,1,563.01,0
cliente_26,1732,1,165.2,1
cliente_27,1729,1,41.48,1
cliente_28,1000,1,332.64,0
cliente_29,981,1,39.88,0
cliente_3,1925,1,121.99,1
cliente_30,1194,1,48.7,0
cliente_31,1857,1,84.1,1
cliente_32,1877,1,177.36,1
cliente_33,1858,1,45.73,1
cliente_34,78,2,165.2,2
cliente_35,2381,1,113.9,1
cliente_36,2522,1,72.69,1
cliente_37,1897,1,427.16,1
cliente_38,88,1,275.35,0
cliente_39,1565,1,108.16,1
cliente_4,1940,1,55.22,1
cliente_40,1521,1,97.73,1
cliente_41,217,1,137.82,0
cliente_42,41,1,67.67,0
cliente_43,1215,1,188.75,0
cliente_44,1209,1,97.75,0
cliente_45,2504,1,175.51,1
cliente_46,125,1,82.6,0
cliente_47,701,1,74.34,0
cliente_48,725,1,274.73,0
cliente_49,707,1,26.3,0
cliente_5,1130,1,45.31,0
cliente_50,705,1,208.44,0
cliente_51,715,1,32.05,0
cliente_52,372,1,258.72,0
cliente_53,366,1,82.69,0
cliente_54,392,1,41.73,0
cliente_55,2059,1,47.2,1
cliente_56,441,1,31.76,0
cliente_57,442,1,115.39,0
cliente_58,452,1,139.83,0
cliente_59,642,1,242.89,0
cliente_6,1000,2,426.13,2
cliente_60,645,1,165.2,0
cliente_61,659,1,410.61,0
cliente_62,2052,1,123.19,1
cliente_63,2056,1,72.61,1
cliente_64,79,1,57.64,0
cliente_65,72,1,40.0,0
cliente_66,6,1,53.85,0
cliente_67,15,1,389.39,0
cliente_68,6,1,40.45,0
cliente_69,1804,1,117.76,1
cliente_7,1085,2,376.56,2
cliente_70,389,1,360.21,0
cliente_71,384,1,65.66,0
cliente_72,369,1,119.95,0
cliente_73,3098,1,57.71,1
cliente_74,2955,1,118.05,1
cliente_75,1593,1,60.37,1
cliente_76,1694,1,66.84,1
cliente_77,1685,1,67.25,1
cliente_78,255,1,45.02,0
cliente_79,262,1,120.47,0
cliente_8,1212,1,232.96,0
cliente_80,248,1,88.85,0
cliente_81,3026,1,121.36,1
cliente_82,37,1,63.29,0
cliente_83,972,1,34.75,0
cliente_84,959,1,377.59,0
cliente_85,944,1,97.02,0
cliente_86,967,1,271.2,0
cliente_87,1603,1,64.9,1
cliente_88,1586,1,389.11,0
cliente_89,1880,1,254.97,1
cliente_9,1211,1,23.3,0
cliente_90,2675,1,82.08,1
cliente_91,327,1,80.16,0
cliente_92,1861,1,94.79,1
cliente_93,1873,1,33.1,1
cliente_94,2172,1,174.88,1
